cat__State_Andhra Pradesh,cat__State_Arunachal Pradesh,cat__State_Assam,cat__State_Bihar,cat__State_Chandigarh,cat__State_Chhattisgarh,cat__State_Dadra And Nagar Haveli And Daman And Diu,cat__State_Delhi,cat__State_Goa,cat__State_Gujarat,cat__State_Haryana,cat__State_Himachal Pradesh,cat__State_Jammu And Kashmir,cat__State_Jharkhand,cat__State_Karnataka,cat__State_Kerala,cat__State_Madhya Pradesh,cat__State_Maharashtra,cat__State_Manipur,cat__State_Meghalaya,cat__State_Mizoram,cat__State_Nagaland,cat__State_Odisha,cat__State_Other,cat__State_Puducherry,cat__State_Punjab,cat__State_Rajasthan,cat__State_Sikkim,cat__State_Tamil Nadu,cat__State_Telangana,cat__State_Tripura,cat__State_Uttar Pradesh,cat__State_Uttarakhand,cat__State_West Bengal,cat__Weekday_Friday,cat__Weekday_Monday,cat__Weekday_Saturday,cat__Weekday_Sunday,cat__Weekday_Thursday,cat__Weekday_Tuesday,cat__Weekday_Wednesday,cat__Season_Monsoon,cat__Season_Post-Monsoon,cat__Season_Summer,cat__Season_Winter,num__Shortage_MW,num__Energy_Met_MU,num__Drawal_Schedule_MU,num__OD_UD_MU,num__Max_OD_MW,num__Energy_Shortage_MU,num__Temp_Max,num__Temp_Min,num__Temp_Avg,num__Humidity,num__Rainfall,num__Year,num__Month,num__year,num__month,num__day,num__dayofweek,num__month_sin,num__month_cos,num__dow_sin,num__dow_cos
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,1.0239835436368006,2.243618113470061,-0.6077281476235943,-0.2518310907957968,-0.17445776464536475,0.7870345585701292,0.9700276302734081,0.8998557626687259,0.2895014421240545,0.7358153626146355,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.04392786107129941,-1.0022529330678334,-0.6463109673600036,-1.067566144099804,1.1079901530668237,0.881494382102246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9339842017727349,2.127258195006426,-1.6409777036875637,-0.3387790468680113,-0.17445776464536475,0.8399347199935253,1.1645678867188578,1.025576844920551,0.24104064853105134,-0.4769678076466538,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.15750713828310078,-0.5027845790732386,-0.6463109673600036,-1.067566144099804,1.3808400953172648,-0.3159610907954276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9387806137743726,2.125435324221095,-1.0769332600391166,-0.3474738424752328,-0.17445776464536475,0.8634459028483685,1.0976946735657345,1.004112269901947,0.24104064853105134,-0.1491885724408999,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.27108641549490214,-0.003316225078643843,-0.6463109673600036,-1.067566144099804,0.6163315459135831,-1.2762458214580998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.959498448948114,2.1058394632787856,0.2807666397164373,0.037995429444918294,-0.17445776464536475,0.8340569242798149,1.0855359075378936,0.9826476948833421,0.24104064853105134,-0.4582375656348964,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.38466569270670353,0.49615212891595095,-0.6463109673600036,-1.067566144099804,-0.6098449643108771,-1.2762458214581
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,1.0152567384671538,2.2143002750059857,0.8048787333720739,-0.1561883391163608,1.4388885712148791,0.8928348814169215,1.0733771415100533,1.0071786377617473,0.11988866454854342,-0.4816503681495931,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.4982449699185049,0.9956204829105457,-0.6463109673600036,-1.067566144099804,-1.3743535137145593,-0.31596109079542795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9471743347772391,2.1646270461057133,0.575267720913414,-0.21995017356931812,-0.17445776464536475,0.9104682685580543,1.152409120691017,1.056240523518557,0.11988866454854342,-0.41609452110844236,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.6118242471303063,1.4950888369051405,-0.6463109673600036,-1.067566144099804,-1.1015035714641181,0.8814943821022457
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9712896284521402,2.171918529247038,-0.5478296226343786,0.0785711422786184,-0.17445776464536475,0.9810018171225834,1.1706472697327779,1.1022360414155663,0.1683494581415466,-0.4067294001025637,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.7254035243421076,-1.5017212870624281,-0.6463109673600036,-1.067566144099804,0.00324329080135282,1.414412202502827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9896758744584189,2.2212879463497552,0.031189452261372236,-0.12430742188988214,0.0796995348394682,0.8575681071346574,1.0976946735657345,1.001045902042146,0.36219263251355927,-0.15387113294383928,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.838982801553909,-1.0022529330678334,-0.6463109673600036,-1.067566144099804,1.1079901530668237,0.881494382102246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9482402041109362,2.112675228723777,-0.25832008518650323,-0.1445952783067322,-0.17445776464536475,0.8281791285661037,0.9761070132873284,0.9243867055471308,0.31373183892055606,-0.08831528590268849,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,0.9525620787657104,-0.5027845790732386,-0.6463109673600036,-1.067566144099804,1.3808400953172648,-0.3159610907954276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9741541522864517,2.1828557539590245,-0.023717528978742068,0.2669583804350832,-0.17445776464536475,0.8634459028483678,0.9821863963012488,0.9458512805657351,0.31373183892055606,-0.4301422026172603,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.0661413559775117,-0.003316225078643843,-0.6463109673600036,-1.067566144099804,0.6163315459135831,-1.2762458214580998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.961896654948933,2.280075529176683,-0.687592847609215,-0.486590572190776,0.6322154032847571,0.628334074299939,0.9761070132873284,0.8201301983139101,0.5318054100890703,0.796688649152847,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.179720633189313,0.49615212891595095,-0.6463109673600036,-1.067566144099804,-0.6098449643108771,-1.2762458214581
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.9234587421024743,2.304532378879875,0.4504791271858815,0.14523124193398287,-0.17445776464536475,0.8340569242798149,1.0369008434265314,0.9581167520049377,0.33796223571705764,-0.30371306903789813,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.2932999104011145,0.9956204829105457,-0.6463109673600036,-1.067566144099804,-1.3743535137145593,-0.31596109079542795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.8736293507521253,2.1292329716905347,-0.1534976664553759,-0.26632241680783253,-0.17445776464536475,0.922223859985476,1.2314410998719807,1.1022360414155663,0.11988866454854342,-0.37395147658198824,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.4068791876129159,1.4950888369051405,-0.6463109673600036,-1.067566144099804,-1.1015035714641181,0.8814943821022457
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8951028441674989,0.9850793129568494,2.1582469983570545,0.8697688021103908,0.05828328586176835,6.0358205966796845,1.0221463871185588,1.2010441848023794,1.1390324557331732,-0.04972411302696766,-0.4722852471437144,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.5204584648247172,-1.5017212870624281,-0.6463109673600036,-1.067566144099804,0.00324329080135282,1.414412202502827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3328479732605822,1.0535614176469006,2.2586567974490426,2.5419359580593266,0.6466311219504199,10.356494687921842,1.075046548541955,1.3043936960390246,1.21875802008799,-0.146645700212974,-0.48633292865253247,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.6340377420365186,-1.0022529330678334,-0.6463109673600036,-1.067566144099804,1.1079901530668237,0.881494382102246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.11295026621434609,1.0110598779657207,2.4067650487571943,-6.088443184136823,0.5480901050685768,-0.17445776464536475,1.0868021399693766,1.0308214604126111,1.0869042021165631,0.33796223571705764,2.5994744427844934,-0.005653631969329601,0.14848213151250272,-0.005653631969329601,0.14848213151250272,1.74761701924832,-0.5027845790732386,-0.6463109673600036,-1.067566144099804,1.3808400953172648,-0.3159610907954276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.5260893311334497,1.466163723526348,-2.9337875347048006,-0.7068587275737195,-0.17445776464536475,0.3461998800418233,0.8666781190367628,0.6177499195670694,0.8225701716470893,2.3138382521051932,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.6597612971057212,-0.003316225078643843,-1.1642018894420698,-0.5410476461173875,0.6163315459135831,-1.2762458214580998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.7038896593608304,1.8047619719015993,-1.2915696412504725,-0.3619651684872685,-0.17445776464536475,0.575433912876542,0.8605987360228429,0.7342718982394926,0.6529573940715783,-0.1819664959614753,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.5461820198939198,0.49615212891595095,-1.1642018894420698,-0.5410476461173875,-0.6098449643108771,-1.2762458214581
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.7580491448793245,1.9101846656532475,-1.251637291257662,-0.544555876238919,-0.17445776464536475,0.55780052573541,0.8909956510924444,0.740404633959094,0.5560358068855719,-0.3833165975878669,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.4326027426821184,0.9956204829105457,-1.1642018894420698,-0.5410476461173875,-1.3743535137145593,-0.31596109079542795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.6873020678551663,1.73534097616024,-0.4629733788996566,-0.1561883391163608,-0.17445776464536475,0.6812342357233352,0.9639482472594881,0.8415947733325141,0.24104064853105134,-0.4769678076466538,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.319023465470317,1.4950888369051405,-1.1642018894420698,-0.5410476461173875,-1.1015035714641181,0.8814943821022457
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.780632251387036,1.898184099649818,-0.3681340476667318,25.77169216161801,-0.17445776464536475,0.5695561171628308,1.00650392835693,0.8047983590149066,0.21681025173454974,-0.4020468395996243,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.2054441882585156,-1.5017212870624281,-1.1642018894420698,-0.5410476461173875,0.00324329080135282,1.414412202502827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.11295026621434609,0.8801578004210214,2.070749200661162,-0.48293955389606175,-0.16488313472358226,-0.17445776464536475,0.504900364312013,0.9578688642455673,0.7465373696786952,0.2895014421240545,-0.43950732362313905,-0.005653631969329601,0.4635455912664873,-0.005653631969329601,0.4635455912664873,-1.0918649110467142,-1.0022529330678334,-1.1642018894420698,-0.5410476461173875,1.1079901530668237,0.881494382102246
